Publish Date,Organization,Source Country,Product Name,Manufacturer (as displayed),Distributor,Reason,More Info,URL
2023-11-08,Health Canada,Canada,Vitrakvi,,,Contamination,Contamination. Vitrakvi: Presence of contamination in affected lot,https://recalls-rappels.canada.ca/en/alert-recall/vitrakvi-presence-contamination-affected-lot
2023-11-01,U.S. Food and Drug Administration (FDA),United States,Methotrexate,,West-Ward Pharmaceuticals Corp.,Failed Tablet/Capsule Specifications: Tablets were observed to have an unsmooth surface with two tablets demonstrating illegible tablet identification and scoring.,"Methotrexate Tablets, USP, 2.5 mg, 10x10 Unit-Dose Tablets per carton, Rx only, Distributed by: West-Ward Pharmaceuticals Corp., Eatontown, NJ 07724.  NDC: 0054-8550-25 Lot, expiry:  Lot AB7486B, exp Dec 2023; Lot AB8766B, exp April 2024; Lot AB9484B, exp Aug 2024",https://api.fda.gov/drug/enforcement.json?search=event_id:93223
2023-10-25,U.S. Food and Drug Administration (FDA),United States,Bevacizumab,,,Lack of Assurance of Sterility,"Bevacizumab 1.25 MG/0.05 ML Solution for Injection, 1 mL syringes, Rx only, Compounded by Pine Pharmaceuticals 355 Riverwalk Parkway, Tonawanda, NY 14150. Lot #: 68622, 68620 Exp. Date 10/3/2023; 68632 Exp. Date 10/4/2023; 68699, 68704, 68706 Exp. Date 10/6/2023; 68726, 68740 Exp. Date 10/7/2023; 68784 Exp. Date 10/11/2023; 68843, 68861, Exp. Date 10/13/2023; 68789,68822 Exp. Date 10/12/2023; 68914 Exp. Date 10/17/2023; 68952, 68954, 68980 Exp. Date 10/18/2023; 69105 Exp. Date 10/25/2023; 69731 Exp. Date 11/7/2023; 69991 Exp. Date 11/15/2023;70142 Exp. Date 11/22/2023; 70233 Exp. Date 11/28/2023; 70297, 70264, 70291, 70300 Exp. Date 11/30/2023; 70355 Exp. Date 12/5/2023; 70516, 70513 Exp. Date 12/12/2023;;70659, 70664 Exp. Date 12/19/2023; 70700 Exp. Date 12/20/2023; 68912, Exp. Date 10/17/2023; 69071, Exp. Date 10/24/2023; 69725, Exp. Date 10/31/2023; 69749, Exp. Date 11/1/2023; 69961, Exp. Date 11/14/2023; 70112, Exp. Date 11/21/2023; 70228, Exp. Date 11/28/2023; 70353, Exp. Date 12/5/2023; 70403, Exp. Date 12/9/2023; 70513, Exp. Date 2/12/2023; 70569, 70570, 70579, 70571, 70572,70573, 70585, 70503 Exp. Date 12/14/2023; 70692, Exp. Date 12/20/2023; 68912, Exp. Date 10/17/2023; 69071, Exp. Date 10/24/2023; 69725, Exp. Date 10/31/2023; 69749, Exp. Date 1/7/2023; 69961, Exp. Date 11/14/2023; 70112, Exp. Date 11/21/2023; 70228, Exp. Date 11/28/2023; 70353, Exp. Date 12/5/2023; 70 692, Exp. Date 12/20/2023, 67538, Exp. Date 10/11/2023; 68535, Exp. Date 10/4/2023; 68611, 68613 Exp. Date 10/3/2023; 68612, 68633, 68637 Exp. Date 10/4/2023; 68638, 68673, 68674,68675, Exp. Date 10/5/2023; 68634, 68699, 68700, 68701, 68702, 68709 Exp. Date 10/6/2023; 68703, 68708, 68728, 68729, 68736, 68737, 68738, 68739, Exp. Date 10/7/2023; 68647, 68757, 68758, 68759, Exp. Date 10/10/2023; 68784, 68785, 68786, 68787, 68788, Exp. Date 10/11/2023; 68821,  68823, 68824, Exp. Date 10/12/2023; 68896, 68897, 68843, 68844, 68850, 68851, 68852, 10/13/2023; 68853 68877, 68878, 68879, 68880, 68886, 68890, 68891 Exp. Date 10/14/2023; 68913, 68915, 68923, Exp. Date 10/17/2023; 68922, 68953,68976, 68980, Exp. Date 10/18/2023; 68977, 68978,68979, 68981, Exp. Date 10/19/2023; 68959,68982, 69016, 69017, 69019, 69012 Exp. Date 10/20/2023; 69018, 69047, 69048, 69049, 69050, 69051, 69052, 69056, 68983, 69042, Exp. Date 10/21/2023; 69072, 69073, 69074, 69075, Exp. Date 10/24/2023; 69102, 69103, 69104, 69105, 69109, Exp. Date 10/25/2023; 69129, 69127, 69077 Exp. Date 10/26/2023; 69142, 69128, Exp. Date 10/27/2023; 69130, 69101, 69131, 69132, 69143, 69144, 69166, 69167, 69168, 69169, 69170, 69171, Exp. Date 10/28/2023; 69726, 69727, Exp. Date 10/31/2023;69746, 69748, 69750, Exp. Date 11/2/2023; 69754, 69755, 69768, 69770, Exp. Date 11/3/2023; 69779, 69751, 69745, 69780, 69781, 69782, 69783, 69784, 69793, Exp. Date 11/4/2023; 69794, 6974, ; 69841, Exp. Date 11/8/2023; 69865, 69866, 69863, 69867, 69796, 69872 Exp. Date 11/9/2023; 69890, 69892,69893, 69894, 69895, 69896, 69897, Exp. Date 11/10/2023; 69928, 69929, 69930,69931,69932, 69933, 69928, 69950, Exp. Date 11/11/2023; 69964, 69868, Exp. Date 11/14/2023; 69965, 69987, 69988, 69990, Exp. Date 11/15/2023; 70031, 70032, 70033, 69963, 70034, Exp. Date 11/16/2023; 70066,70067, Exp. Date 11/17/2023; 69998,70011,69962, 70094, 70095, 69864, 70093 Exp. Date 11/18/2023; 70035, 70113, 70114, 70115, Exp. Date 11/21/2023; 70116, 70138, 70139, 70140, 70147, Exp. Date 11/22/2023; 70163, 70164, 70165, 70166, 70167, 70168, Exp. Date 11/23/2023; 70191, 70193,70194, 70195, 70196, 70197, 70198, 70204, Exp. Date 11/24/2023; 70208, 70211, 70212, 70213, 70214, 70220, 70218, Exp. Date 11/25/2023; 70229, 70231, 70232, 70234, Exp. Date 11/28/2023; 70254, 70255, 70256, 70257, 70261, 70262, 70263, 70277, 70258, 70275 Exp. Date 11/29/2023; 70265, 70314, 70315, 70259,70299 Exp. Date 12/1/2023; 70325, 70326, 70333,70338, 70341 Exp. Date 12/2/2023; 70358, Exp. Date 12/5/2023; 70397, 70398, 70399, 70399, 70409, 70410, 70406, 70404 Exp. Date 12/6/2023; 70324, 70339, 70445, 70450, Exp. Date 12/7/2023; 70462, 70463, 70465, 70466, 70467, Exp. Date 12/8/2023; 70494, 70495, 70497, 70493, 70497, 70501, 70422 Exp. Date 12/9/2023; 70523, 70419, 70514, Exp. Date 12/12/2023;70544, 70549, 70552, 70553, Exp. Date 12/13/2023; 70605,70606, 70340, 70608,70609, 70613, 70619 Exp. Date 12/15/2023; 70635, 70636, Exp. Date 12/16/2023; 70660, 70661, 70662, 70663, 12/19/2023; 70672, 70693, 70694,70695,70696, 70702, Exp. Date 12/20/2023;  70726, 70727, 70728, 70729, 70730, 70744, 70731, Exp. Date 12/21/2023; 70759, 70760, 70762, 70763, Exp. Date 12/22/2023; 70786,70791, 70788, 70789 Exp. Date 12/23/2023; 70835, 70787, 70790, Exp. Date 12/26/2023; 70852, 70853, 70860, 70833 Exp. Date 12/27/2023; 70868, 70869, 70870, 70871, 70874, Exp. Date 12/28/2023; 70832, 70851, Exp. Date 1/4/2024.",https://api.fda.gov/drug/enforcement.json?search=event_id:93154
2023-10-25,U.S. Food and Drug Administration (FDA),United States,Doxil,,,CGMP Deviations: Product was exposed to temperatures exceeding the labeled storage conditions during transportation were released by mistake.,"Doxil (doxorubicin hydrochloride liposome injection) 50 mg in 25 mL (2 mg/mL), Single-Dose Vial, Rx only, Manufactured for: Baxter Healthcare Corporation, Deerfield, IL 60015.  NDC 0338-0067-01 Lot# MKZSU02, Exp 6/30/2024",https://api.fda.gov/drug/enforcement.json?search=event_id:93201
2023-10-04,U.S. Food and Drug Administration (FDA),United States,Eligard,Tolmar Inc.,,Superpotent Drug - Higher than expected levels of leuprolide acetate in the constituted product.,"Eligard (leuprolide acetate) for injectable suspension, 7.5 mg every month, Sterile, Rx Only, Must be reconstituted before use, NDC 62935-753-75, Manufactured by: Tolmar Inc., Fort Collins, CO 80526, For Tolmar Therapeutics Inc., Fort Collins, CO 80526. Lot: 13635A1, Exp. 07/31/2024",https://api.fda.gov/drug/enforcement.json?search=event_id:93044
2023-09-12,Health Canada,Canada,Eligard,,,Product quality,Product quality. ELIGARD 7.5mg: may not be filled with correct amount of leuprolide acetate.,https://recalls-rappels.canada.ca/en/alert-recall/eligard-75mg-may-not-be-filled-correct-amount-leuprolide-acetate
2023-08-30,U.S. Food and Drug Administration (FDA),United States,Bendamustine,,,Labeling: Missing Label; customer complaint received that labels were partially or completely peeled off injection vial.,"Bendamustine HCl Injection, 100mg/4mL (25mg/mL), One 4 mL Multiple-Dose Vial, Rx only, Manufactured for Baxter Healthcare Corporation, Deerfield, IL 60015, NDC 10019-079-01. Lots: 3A004A, 3A004B, Exp 12/31/2024; 3B005A, Exp 1/31/2025",https://api.fda.gov/drug/enforcement.json?search=event_id:92887
2023-08-23,U.S. Food and Drug Administration (FDA),United States,Pluvicto,,,Labeling: Incorrect or Missing Lot and/or Exp Date: vials were labeled with the incorrect lot number and expiration date,"PLUVICTO 1,000MBq/mL (27 mCi/mL), lutetium Lu 177 vipivotide tetraxetan injection,  9.2 mL Single-dose vial, Manufacturer: Advanced Accelerator Appllications USA, Inc., 57 E. Willow Street NJ 07041, Milburn, USA, NDC 69488-010-61 Lot # LPS230729B-16, Exp 8/3/2023 at 10:00am, LPS230804B-16, Exp 8/9/2023 at 10:00am.",https://api.fda.gov/drug/enforcement.json?search=event_id:92845
2023-07-19,U.S. Food and Drug Administration (FDA),United States,Sunitinib,Teva Pharmaceuticals USA,,Failed Moisture Limits: Water (moisture) content above the approved product specifications.,"Sunitinib Malate Capsules, 12.5 mg, 28-count bottles, Rx only, Manufactured By: Teva Pharmaceuticals USA, Inc., Parsippany, NJ  07054, NDC 0093-8199-28 Lot # 100037220, Exp 10/2024",https://api.fda.gov/drug/enforcement.json?search=event_id:92636
2023-06-08,Health Canada,Canada,Idhifa,,,New safety information - Product withdrawal,New safety information - Product withdrawal. IDHIFA (enasidenib mesylate) – Market Withdrawal and Continued Access,https://recalls-rappels.canada.ca/en/alert-recall/idhifa-enasidenib-mesylate-market-withdrawal-and-continued-access
